id,Name,Year,Percent of graduates with debt,Average debt of graduates,Per capita debt of graduates,Full-time freshmen who received any student loans (#),% of full-time freshmen who received any student loans,Average amount of student loans received by full-time freshmen who borrowed,Tuition and fees (in-district/in-state),Graduation rate (within 150% of normal time),Origin of data
43,"Alaska - Private, nonprofit",2014-15,0.63,8922,5621,37,0.63,6295,11674,0.42,CollegeInSight_Explore_CA.csv
44,"Alaska - Private, nonprofit",2013-14,0.63,8922,5621,37,0.64,6343,19019,0.5,CollegeInSight_Explore_CA.csv
45,"Alaska - Private, nonprofit",2012-13,0.56,9757,5464,31,0.56,3609,18415,0.25,CollegeInSight_Explore_CA.csv
46,"Alaska - Private, nonprofit",2011-12,,,,19,0.45,3259,16066,0.41,CollegeInSight_Explore_CA.csv
47,"Alaska - Private, nonprofit",2010-11,,,,37,0.46,3998,18337,0.4,CollegeInSight_Explore_CA.csv
48,"Alaska - Private, nonprofit",2009-10,0.55,31000,17050,42,0.58,6094,16818,0.29,CollegeInSight_Explore_CA.csv
49,Alaska - Public,2016-17,0.46,25682,11814,,,,5988,,CollegeInSight_Explore_CA.csv
50,Alaska - Public,2015-16,0.49,26310,12892,629,0.25,5367,5614,0.32,CollegeInSight_Explore_CA.csv
51,Alaska - Public,2014-15,0.55,26986,14726,714,0.27,5707,5423,0.3,CollegeInSight_Explore_CA.csv
52,Alaska - Public,2013-14,0.5,27728,13775,798,0.28,5639,5108,0.33,CollegeInSight_Explore_CA.csv
53,Alaska - Public,2012-13,0.49,29467,14429,870,0.3,5365,5758,0.37,CollegeInSight_Explore_CA.csv
54,Alaska - Public,2011-12,0.47,30164,14245,1012,0.34,5628,5429,0.35,CollegeInSight_Explore_CA.csv
55,Alaska - Public,2010-11,,,,1041,0.35,6094,5219,0.32,CollegeInSight_Explore_CA.csv
56,Alaska - Public,2009-10,,,,1036,0.36,6403,4966,0.37,CollegeInSight_Explore_CA.csv
57,Alaska - Total,2016-17,0.46,25682,11814,,,,6275,,CollegeInSight_Explore_CA.csv
58,Alaska - Total,2015-16,0.49,26008,12744,1715,0.44,7619,8793,0.4,CollegeInSight_Explore_CA.csv
59,Alaska - Total,2014-15,0.55,26171,14367,1391,0.39,6590,7759,0.39,CollegeInSight_Explore_CA.csv
60,Alaska - Total,2013-14,0.5,26742,13434,1929,0.45,7358,9818,0.4,CollegeInSight_Explore_CA.csv
61,Alaska - Total,2012-13,0.49,28570,14071,1314,0.35,5279,9732,0.4,CollegeInSight_Explore_CA.csv
62,Alaska - Total,2011-12,0.49,28782,14000,1862,0.46,7034,8545,0.41,CollegeInSight_Explore_CA.csv
63,Alaska - Total,2010-11,,,,1673,0.41,6681,10155,0.4,CollegeInSight_Explore_CA.csv
64,Alaska - Total,2009-10,,,,1614,0.43,6699,6472,0.42,CollegeInSight_Explore_CA.csv
65,"Arizona - Private, for-profit",2016-17,,,,,,,12610,,CollegeInSight_Explore_CA.csv
66,"Arizona - Private, for-profit",2015-16,,,,19666,0.72,8415,12941,0.26,CollegeInSight_Explore_CA.csv
67,"Arizona - Private, for-profit",2014-15,,,,26076,0.78,8004,11793,0.23,CollegeInSight_Explore_CA.csv
68,"Arizona - Private, for-profit",2013-14,,,,27003,0.8,8147,12154,0.24,CollegeInSight_Explore_CA.csv
69,"Arizona - Private, for-profit",2012-13,,,,32819,0.82,7878,11627,0.3,CollegeInSight_Explore_CA.csv
70,"Arizona - Private, for-profit",2011-12,,,,40025,0.84,7946,11373,0.34,CollegeInSight_Explore_CA.csv
71,"Arizona - Private, for-profit",2010-11,,,,31497,0.85,7623,12083,0.32,CollegeInSight_Explore_CA.csv
72,"Arizona - Private, for-profit",2009-10,,,,109023,0.88,9563,11054,0.29,CollegeInSight_Explore_CA.csv
73,"Arizona - Private, nonprofit",2016-17,,,,,,,30020,,CollegeInSight_Explore_CA.csv
74,"Arizona - Private, nonprofit",2015-16,,,,541,0.52,11266,29200,0.48,CollegeInSight_Explore_CA.csv
75,"Arizona - Private, nonprofit",2014-15,,,,533,0.61,9892,26627,0.45,CollegeInSight_Explore_CA.csv
76,"Arizona - Private, nonprofit",2013-14,0.65,25375,16485,629,0.71,9794,27120,0.49,CollegeInSight_Explore_CA.csv
77,"Arizona - Private, nonprofit",2012-13,,,,347,0.63,10403,27997,0.55,CollegeInSight_Explore_CA.csv
78,"Arizona - Private, nonprofit",2011-12,,,,374,0.69,8512,26616,0.53,CollegeInSight_Explore_CA.csv
79,"Arizona - Private, nonprofit",2010-11,,,,374,0.7,8014,25976,0.52,CollegeInSight_Explore_CA.csv
80,"Arizona - Private, nonprofit",2009-10,0.71,7708,5461,338,0.67,7935,24379,0.57,CollegeInSight_Explore_CA.csv
81,Arizona - Public,2016-17,0.54,23948,12932,,,,7432,,CollegeInSight_Explore_CA.csv
82,Arizona - Public,2015-16,0.49,23433,11482,11759,0.31,6136,7278,0.41,CollegeInSight_Explore_CA.csv
83,Arizona - Public,2014-15,0.56,23760,13358,12561,0.33,6068,6928,0.4,CollegeInSight_Explore_CA.csv
84,Arizona - Public,2013-14,0.57,22575,12939,12367,0.33,5774,6439,0.38,CollegeInSight_Explore_CA.csv
85,Arizona - Public,2012-13,0.56,22170,12365,11997,0.32,5664,6079,0.36,CollegeInSight_Explore_CA.csv
86,Arizona - Public,2011-12,0.54,20265,10928,13239,0.35,5524,5815,0.36,CollegeInSight_Explore_CA.csv
87,Arizona - Public,2010-11,0.49,20017,9846,11969,0.32,5403,4852,0.41,CollegeInSight_Explore_CA.csv
88,Arizona - Public,2009-10,0.47,18984,8842,11292,0.31,5337,4373,0.43,CollegeInSight_Explore_CA.csv
89,Arizona - Total,2016-17,0.54,23967,12942,,,,8827,,CollegeInSight_Explore_CA.csv
90,Arizona - Total,2015-16,0.49,23447,11489,31966,0.48,7625,8923,0.31,CollegeInSight_Explore_CA.csv
91,Arizona - Total,2014-15,0.56,23780,13380,39170,0.54,7409,8633,0.27,CollegeInSight_Explore_CA.csv
92,Arizona - Total,2013-14,0.57,22609,12977,39999,0.56,7439,8447,0.27,CollegeInSight_Explore_CA.csv
93,Arizona - Total,2012-13,0.56,22242,12477,45163,0.58,7309,8220,0.32,CollegeInSight_Explore_CA.csv
94,Arizona - Total,2011-12,0.54,20299,10971,53638,0.62,7352,8145,0.34,CollegeInSight_Explore_CA.csv
95,Arizona - Total,2010-11,0.49,19946,9836,43840,0.59,7020,6572,0.35,CollegeInSight_Explore_CA.csv
96,Arizona - Total,2009-10,0.47,18454,8736,120653,0.75,9163,8315,0.33,CollegeInSight_Explore_CA.csv
97,"Arkansas - Private, for-profit",2016-17,,,,,,,15397,,CollegeInSight_Explore_CA.csv
98,"Arkansas - Private, for-profit",2015-16,,,,1312,0.78,5659,17488,0.49,CollegeInSight_Explore_CA.csv
99,"Arkansas - Private, for-profit",2014-15,,,,1802,0.77,5808,17464,0.43,CollegeInSight_Explore_CA.csv
100,"Arkansas - Private, for-profit",2013-14,,,,1706,0.69,7015,15038,0.48,CollegeInSight_Explore_CA.csv
101,"Arkansas - Private, for-profit",2012-13,,,,1526,0.76,6699,13687,0.54,CollegeInSight_Explore_CA.csv
102,"Arkansas - Private, for-profit",2011-12,,,,1929,0.77,6846,15713,0.52,CollegeInSight_Explore_CA.csv
103,"Arkansas - Private, for-profit",2010-11,,,,2265,0.73,6596,14421,0.56,CollegeInSight_Explore_CA.csv
104,"Arkansas - Private, for-profit",2009-10,,,,2991,0.77,6721,15276,0.54,CollegeInSight_Explore_CA.csv
105,"Arkansas - Private, nonprofit",2016-17,0.65,30120,19578,,,,20403,,CollegeInSight_Explore_CA.csv
106,"Arkansas - Private, nonprofit",2015-16,0.74,30507,22575,2370,0.68,6751,21023,0.52,CollegeInSight_Explore_CA.csv
107,"Arkansas - Private, nonprofit",2014-15,0.64,28570,18345,2320,0.67,6700,19817,0.55,CollegeInSight_Explore_CA.csv
108,"Arkansas - Private, nonprofit",2013-14,0.6,26573,15830,2166,0.63,7097,19653,0.56,CollegeInSight_Explore_CA.csv
109,"Arkansas - Private, nonprofit",2012-13,0.6,25773,15577,2041,0.62,6845,18452,0.54,CollegeInSight_Explore_CA.csv
110,"Arkansas - Private, nonprofit",2011-12,0.61,28069,17064,2377,0.66,6145,17727,0.6,CollegeInSight_Explore_CA.csv
111,"Arkansas - Private, nonprofit",2010-11,0.62,26849,16586,2195,0.63,6229,16791,0.56,CollegeInSight_Explore_CA.csv
112,"Arkansas - Private, nonprofit",2009-10,0.65,25087,16216,1833,0.58,5792,16540,0.56,CollegeInSight_Explore_CA.csv
113,Arkansas - Public,2016-17,0.52,25136,13071,,,,6426,,CollegeInSight_Explore_CA.csv
114,Arkansas - Public,2015-16,0.49,24647,12077,8848,0.41,5950,6152,0.37,CollegeInSight_Explore_CA.csv
115,Arkansas - Public,2014-15,0.55,26069,14248,8936,0.41,5797,5857,0.35,CollegeInSight_Explore_CA.csv
116,Arkansas - Public,2013-14,0.54,25512,13824,9094,0.41,5800,5409,0.35,CollegeInSight_Explore_CA.csv
117,Arkansas - Public,2012-13,0.54,25257,13749,9006,0.39,5505,5226,0.33,CollegeInSight_Explore_CA.csv
118,Arkansas - Public,2011-12,0.53,21514,11306,9784,0.43,5532,4970,0.33,CollegeInSight_Explore_CA.csv
119,Arkansas - Public,2010-11,0.54,21413,11481,8486,0.38,5247,4702,0.34,CollegeInSight_Explore_CA.csv
120,Arkansas - Public,2009-10,0.54,19562,10608,8639,0.4,5468,4290,0.33,CollegeInSight_Explore_CA.csv
121,Arkansas - Total,2016-17,0.55,26799,14740,,,,8482,,CollegeInSight_Explore_CA.csv
122,Arkansas - Total,2015-16,0.56,26859,15041,12530,0.47,6071,8247,0.4,CollegeInSight_Explore_CA.csv
123,Arkansas - Total,2014-15,0.57,26734,15213,13058,0.48,5959,7812,0.39,CollegeInSight_Explore_CA.csv
124,Arkansas - Total,2013-14,0.55,25779,14294,12966,0.46,6176,7377,0.39,CollegeInSight_Explore_CA.csv
125,Arkansas - Total,2012-13,0.56,25404,14231,12573,0.45,5868,6957,0.38,CollegeInSight_Explore_CA.csv
126,Arkansas - Total,2011-12,0.55,23327,12736,14090,0.49,5815,6859,0.38,CollegeInSight_Explore_CA.csv
127,Arkansas - Total,2010-11,0.56,23048,12869,12946,0.45,5650,6543,0.38,CollegeInSight_Explore_CA.csv
128,Arkansas - Total,2009-10,0.57,21408,12270,13463,0.47,5790,6165,0.37,CollegeInSight_Explore_CA.csv
129,"California - Private, for-profit",2016-17,,,,,,,21243,,CollegeInSight_Explore_CA.csv
130,"California - Private, for-profit",2015-16,,,,39458,0.66,7920,19444,0.61,CollegeInSight_Explore_CA.csv
131,"California - Private, for-profit",2014-15,,,,43538,0.66,8066,17390,0.61,CollegeInSight_Explore_CA.csv
132,"California - Private, for-profit",2013-14,,,,50536,0.68,8376,17806,0.62,CollegeInSight_Explore_CA.csv
133,"California - Private, for-profit",2012-13,,,,55885,0.71,8383,17621,0.66,CollegeInSight_Explore_CA.csv
134,"California - Private, for-profit",2011-12,,,,78540,0.76,7542,17069,0.67,CollegeInSight_Explore_CA.csv
135,"California - Private, for-profit",2010-11,,,,90070,0.76,7845,16642,0.65,CollegeInSight_Explore_CA.csv
136,"California - Private, for-profit",2009-10,,,,108962,0.73,8199,18471,0.64,CollegeInSight_Explore_CA.csv
137,"California - Private, nonprofit",2016-17,0.51,31493,16062,,,,41300,,CollegeInSight_Explore_CA.csv
138,"California - Private, nonprofit",2015-16,0.54,29438,15896,15950,0.48,7350,40644,0.73,CollegeInSight_Explore_CA.csv
139,"California - Private, nonprofit",2014-15,0.59,32305,19198,16738,0.52,7500,39231,0.74,CollegeInSight_Explore_CA.csv
140,"California - Private, nonprofit",2013-14,0.61,27489,16857,17124,0.54,7590,37791,0.74,CollegeInSight_Explore_CA.csv
141,"California - Private, nonprofit",2012-13,0.6,28191,17029,17417,0.54,7467,36367,0.75,CollegeInSight_Explore_CA.csv
142,"California - Private, nonprofit",2011-12,0.62,29037,17919,17664,0.56,7005,35106,0.74,CollegeInSight_Explore_CA.csv
143,"California - Private, nonprofit",2010-11,0.61,28063,17075,19241,0.59,6893,33712,0.73,CollegeInSight_Explore_CA.csv
144,"California - Private, nonprofit",2009-10,0.58,26510,15503,16669,0.54,7105,32555,0.73,CollegeInSight_Explore_CA.csv
145,California - Public,2016-17,0.5,20382,10191,,,,5339,,CollegeInSight_Explore_CA.csv
146,California - Public,2015-16,0.52,20477,10648,41437,0.19,5367,5205,0.48,CollegeInSight_Explore_CA.csv
147,California - Public,2014-15,0.53,19344,10259,43367,0.2,5348,5160,0.48,CollegeInSight_Explore_CA.csv
148,California - Public,2013-14,0.53,19476,10333,42819,0.2,5472,5087,0.47,CollegeInSight_Explore_CA.csv
149,California - Public,2012-13,0.53,18066,9649,42756,0.22,5382,5210,0.44,CollegeInSight_Explore_CA.csv
150,California - Public,2011-12,0.5,17994,9071,44243,0.23,5264,4894,0.43,CollegeInSight_Explore_CA.csv
151,California - Public,2010-11,0.5,16840,8380,37914,0.19,5092,3747,0.41,CollegeInSight_Explore_CA.csv
152,California - Public,2009-10,0.46,15913,7366,36551,0.17,5092,3195,0.44,CollegeInSight_Explore_CA.csv
153,California - Total,2016-17,0.5,22785,11392,,,,9712,,CollegeInSight_Explore_CA.csv
154,California - Total,2015-16,0.53,22744,12054,96845,0.31,6734,9572,0.54,CollegeInSight_Explore_CA.csv
155,California - Total,2014-15,0.54,22191,12054,103643,0.32,6838,9462,0.54,CollegeInSight_Explore_CA.csv
156,California - Total,2013-14,0.55,21379,11718,110479,0.34,7128,9352,0.54,CollegeInSight_Explore_CA.csv
157,California - Total,2012-13,0.55,20340,11153,116058,0.38,7140,9660,0.54,CollegeInSight_Explore_CA.csv
158,California - Total,2011-12,0.52,20270,10619,140447,0.43,6757,9242,0.53,CollegeInSight_Explore_CA.csv
159,California - Total,2010-11,0.51,18867,9709,147225,0.42,7012,8276,0.51,CollegeInSight_Explore_CA.csv
160,California - Total,2009-10,0.48,18094,8750,162182,0.42,7386,7260,0.53,CollegeInSight_Explore_CA.csv
161,"Colorado - Private, for-profit",2016-17,,,,,,,11685,,CollegeInSight_Explore_DE
162,"Colorado - Private, for-profit",2015-16,,,,5905,0.69,7235,12713,0.51,CollegeInSight_Explore_DE
163,"Colorado - Private, for-profit",2014-15,,,,6795,0.73,7497,12868,0.51,CollegeInSight_Explore_DE
164,"Colorado - Private, for-profit",2013-14,,,,8154,0.73,7830,12584,0.5,CollegeInSight_Explore_DE
165,"Colorado - Private, for-profit",2012-13,,,,8649,0.71,8506,13410,0.49,CollegeInSight_Explore_DE
166,"Colorado - Private, for-profit",2011-12,,,,10098,0.79,7228,13315,0.55,CollegeInSight_Explore_DE
167,"Colorado - Private, for-profit",2010-11,,,,12266,0.83,7972,12555,0.52,CollegeInSight_Explore_DE
168,"Colorado - Private, for-profit",2009-10,,,,15604,0.84,9096,12673,0.55,CollegeInSight_Explore_DE
169,"Colorado - Private, nonprofit",2016-17,0.47,28047,13182,,,,40615,,CollegeInSight_Explore_DE
170,"Colorado - Private, nonprofit",2015-16,0.47,27645,12993,1695,0.5,7349,39117,0.62,CollegeInSight_Explore_DE
171,"Colorado - Private, nonprofit",2014-15,0.51,28519,14568,1681,0.51,7915,37167,0.58,CollegeInSight_Explore_DE
172,"Colorado - Private, nonprofit",2013-14,0.53,27615,14717,1739,0.5,8762,35627,0.58,CollegeInSight_Explore_DE
173,"Colorado - Private, nonprofit",2012-13,0.54,28506,15505,1486,0.51,7501,33572,0.68,CollegeInSight_Explore_DE
174,"Colorado - Private, nonprofit",2011-12,0.49,27958,13817,1563,0.51,7294,32882,0.69,CollegeInSight_Explore_DE
175,"Colorado - Private, nonprofit",2010-11,0.42,24896,10564,1484,0.49,7013,32158,0.7,CollegeInSight_Explore_DE
176,"Colorado - Private, nonprofit",2009-10,0.52,27176,14153,1383,0.42,6565,30629,0.7,CollegeInSight_Explore_DE
177,Colorado - Public,2016-17,0.53,26351,13966,,,,8785,,CollegeInSight_Explore_DE
178,Colorado - Public,2015-16,0.54,26396,14254,12590,0.42,6579,8354,0.49,CollegeInSight_Explore_DE
179,Colorado - Public,2014-15,0.57,25515,14552,12419,0.43,6442,7942,0.49,CollegeInSight_Explore_DE
180,Colorado - Public,2013-14,0.57,24741,14026,12816,0.44,6606,7435,0.48,CollegeInSight_Explore_DE
181,Colorado - Public,2012-13,0.56,24067,13489,13464,0.46,6442,6635,0.46,CollegeInSight_Explore_DE
182,Colorado - Public,2011-12,0.52,23987,12579,14591,0.48,6285,6317,0.46,CollegeInSight_Explore_DE
183,Colorado - Public,2010-11,0.56,22054,12313,14558,0.46,6178,5600,0.46,CollegeInSight_Explore_DE
184,Colorado - Public,2009-10,0.55,21192,11746,14258,0.47,5942,5009,0.47,CollegeInSight_Explore_DE
185,Colorado - Total,2016-17,0.52,26530,13795,,,,11857,,CollegeInSight_Explore_DE
186,Colorado - Total,2015-16,0.53,26520,14056,20190,0.49,6836,11619,0.5,CollegeInSight_Explore_DE
187,Colorado - Total,2014-15,0.56,25840,14554,20895,0.5,6903,11159,0.5,CollegeInSight_Explore_DE
188,Colorado - Total,2013-14,0.56,25064,14108,22709,0.52,7211,10475,0.49,CollegeInSight_Explore_DE
189,Colorado - Total,2012-13,0.56,24608,13742,23599,0.53,7265,9542,0.49,CollegeInSight_Explore_DE
190,Colorado - Total,2011-12,0.52,24540,12761,26252,0.57,6708,9217,0.5,CollegeInSight_Explore_DE
191,Colorado - Total,2010-11,0.54,22283,12132,28308,0.58,6999,8658,0.49,CollegeInSight_Explore_DE
192,Colorado - Total,2009-10,0.55,22017,12096,31245,0.59,7545,8635,0.5,CollegeInSight_Explore_DE
193,"Connecticut - Private, for-profit",2016-17,,,,,,,17031,,CollegeInSight_Explore_DE
194,"Connecticut - Private, for-profit",2015-16,,,,4696,0.79,7493,17243,0.65,CollegeInSight_Explore_DE
195,"Connecticut - Private, for-profit",2014-15,,,,5319,0.8,7744,17250,0.61,CollegeInSight_Explore_DE
196,"Connecticut - Private, for-profit",2013-14,,,,5900,0.81,7992,19528,0.6,CollegeInSight_Explore_DE
197,"Connecticut - Private, for-profit",2012-13,,,,6256,0.79,7768,22417,0.61,CollegeInSight_Explore_DE
198,"Connecticut - Private, for-profit",2011-12,,,,6654,0.77,7636,21418,0.61,CollegeInSight_Explore_DE
199,"Connecticut - Private, for-profit",2010-11,,,,8578,0.78,7369,20441,0.62,CollegeInSight_Explore_DE
200,"Connecticut - Private, for-profit",2009-10,,,,8762,0.76,7452,22473,0.63,CollegeInSight_Explore_DE
201,"Connecticut - Private, nonprofit",2016-17,0.56,38824,21741,,,,42713,,CollegeInSight_Explore_DE
202,"Connecticut - Private, nonprofit",2015-16,0.54,38607,20848,6390,0.57,9878,40949,0.71,CollegeInSight_Explore_DE
203,"Connecticut - Private, nonprofit",2014-15,0.59,39230,23010,6386,0.58,9384,39466,0.71,CollegeInSight_Explore_DE
204,"Connecticut - Private, nonprofit",2013-14,0.59,36242,21228,6213,0.57,9691,38282,0.69,CollegeInSight_Explore_DE
205,"Connecticut - Private, nonprofit",2012-13,0.63,36236,22941,5969,0.56,9469,37086,0.73,CollegeInSight_Explore_DE
206,"Connecticut - Private, nonprofit",2011-12,0.56,33741,18957,6187,0.59,8864,35598,0.72,CollegeInSight_Explore_DE
207,"Connecticut - Private, nonprofit",2010-11,0.56,33459,18748,6381,0.59,8488,33792,0.73,CollegeInSight_Explore_DE
208,"Connecticut - Private, nonprofit",2009-10,0.56,32316,18122,6234,0.58,8845,31933,0.75,CollegeInSight_Explore_DE
209,Connecticut - Public,2016-17,,,,,,,8977,,CollegeInSight_Explore_DE
210,Connecticut - Public,2015-16,0.76,29418,22358,5633,0.37,6773,8478,0.45,CollegeInSight_Explore_DE
211,Connecticut - Public,2014-15,0.75,28176,21028,5632,0.37,6656,7926,0.45,CollegeInSight_Explore_DE
212,Connecticut - Public,2013-14,0.65,24831,16181,5732,0.36,7522,7670,0.43,CollegeInSight_Explore_DE
213,Connecticut - Public,2012-13,0.65,25348,16519,5592,0.36,6608,6958,0.41,CollegeInSight_Explore_DE
214,Connecticut - Public,2011-12,0.64,23972,15405,5996,0.37,6226,6664,0.4,CollegeInSight_Explore_DE
215,Connecticut - Public,2010-11,0.69,24402,16803,5669,0.34,6117,6442,0.4,CollegeInSight_Explore_DE
216,Connecticut - Public,2009-10,0.65,22443,14515,5607,0.34,5997,6041,0.41,CollegeInSight_Explore_DE
217,Connecticut - Total,2016-17,0.57,38510,21951,,,,22857,,CollegeInSight_Explore_DE
218,Connecticut - Total,2015-16,0.6,35494,21297,16719,0.52,8162,21913,0.57,CollegeInSight_Explore_DE
219,Connecticut - Total,2014-15,0.64,34773,22323,17337,0.53,7995,20911,0.56,CollegeInSight_Explore_DE
220,Connecticut - Total,2013-14,0.62,29750,18490,17845,0.53,8433,20241,0.55,CollegeInSight_Explore_DE
221,Connecticut - Total,2012-13,0.64,30183,19417,17817,0.52,7974,19268,0.54,CollegeInSight_Explore_DE
222,Connecticut - Total,2011-12,0.61,27816,16918,18837,0.53,7591,18272,0.54,CollegeInSight_Explore_DE
223,Connecticut - Total,2010-11,0.62,28433,17768,20628,0.53,7371,17384,0.55,CollegeInSight_Explore_DE
224,Connecticut - Total,2009-10,0.61,26392,16083,20603,0.53,7477,16274,0.56,CollegeInSight_Explore_DE
225,"Delaware - Private, for-profit",2016-17,,,,,,,12975,,CollegeInSight_Explore_DE
226,"Delaware - Private, for-profit",2015-16,,,,905,0.65,6566,12975,0.67,CollegeInSight_Explore_DE
227,"Delaware - Private, for-profit",2014-15,,,,1185,0.7,6250,12975,0.64,CollegeInSight_Explore_DE
228,"Delaware - Private, for-profit",2013-14,,,,1348,0.71,6591,15495,0.64,CollegeInSight_Explore_DE
229,"Delaware - Private, for-profit",2012-13,,,,1639,0.54,6277,10240,0.65,CollegeInSight_Explore_DE
230,"Delaware - Private, for-profit",2011-12,,,,2249,0.68,5739,10212,0.64,CollegeInSight_Explore_DE
231,"Delaware - Private, for-profit",2010-11,,,,2491,0.73,5449,,0.65,CollegeInSight_Explore_DE
232,"Delaware - Private, for-profit",2009-10,,,,2145,0.75,5386,,0.7,CollegeInSight_Explore_DE
233,"Delaware - Private, nonprofit",2016-17,,,,,,,20190,,CollegeInSight_Explore_DE
234,"Delaware - Private, nonprofit",2015-16,,,,699,0.72,6257,19896,0.34,CollegeInSight_Explore_DE
